	description	author	year	journal	function	class	vtype	ghz	jkp	hxz	hxz_ref	cz	note	sample_start	sample_end
297	Profit margin (quarterly)	Soliman	2008	AR						Pmq	A.4.7	PM_q		1984	2002
298	Return on net operating assets	Soliman	2008	AR	ebit_bev	funda			ebit_bev	Rna	A.4.5	RetNOA		1984	2002
299	Return on net operating assets (quarterly)	Soliman	2008	AR						Rnaq	A.4.7	RetNOA_q		1984	2002
300	Mispricing factor: Management	Stambaugh and Yuan	2017	RFS	mispricing_mgmt	merge			mispricing_mgmt					1967	2013
301	Mispricing factor: Performance	Stambaugh and Yuan	2017	RFS	mispricing_perf	merge			mispricing_perf					1967	2013
302	Inventory change	Thomas and Zhang	2002	RAS	inv_gr1a	funda		chinv	inv_gr1a	Ivc	A.3.15	ChInv	"JKP use at at t., while we use two-year average of at following the original definition."	1970	1997
303	Tax expense surprise	Thomas and Zhang	2011	JAR	chtx	fundq		chtx	tax_gr1a	Tes	A.1.8	ChTax	"JKP use tax in funda, but the original definition uses txtq. We follow the original."	1977	2006
304	Abnormal corporate investment	"Titman, Wei, and Xie"	2004	JFQA	capex_abn	funda		cinvest	capex_abn	Aci		Investment	GHZ's definition is quite differernt. We follow JKP.	1973	1996
305	Real estate holdings	Tuzel	2010	RFS	realestate	funda		realestate		Rer	A.5.29	realestate	GHZ don't adjust for industry and remove industries with fewer than 5 firms. We adjust for industry and account for the number of firms.	1971	2005
306	Convertible debt indicator	Valta	2016	JFQA	convind	funda	2	convind				ConvDebt		1985	2012
307	Convertible debt-to-total debt	Valta	2016	JFQA						Cdd	A.5.35			1985	2012
308	Secured debt indicator	Valta	2016	JFQA	securedind	funda	2	securedind				securedind		1985	2012
309	Secured debt-to-total debt	Valta	2016	JFQA	secured	funda		secured		Sdd	A.5.34	secured	"GHZ use dltt for the denominator instead of (dltt + dlc). We use (dltt + dlc) following the original definition.
There are too many missing values and not enough unique values to make decile portfolios."	1985	2012
310	Whited-Wu index	Whited and Wu	2006	RFS						Ww	A.5.32	WW		1975	2001
311	Whited-Wu index (quarterly)	Whited and Wu	2006	RFS						Wwq	A.5.33	WW_Q		1975	2001
312	CAPEX growth (1 year)	Xie	2001	AR	capx_gr1	funda			capx_gr1	Ig	A.3.7			1971	1992
313	Discretionay accruals	Xie	2001	AR						Dac	A.3.21	AbnormalAccruals		1971	1992
